ID,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
6631,Air India,12-05-2019,Kolkata,Banglore,CCU _ BLR,20:45,23:20,2h 35m,non-stop,No info,4880
6632,Jet Airways,27-04-2019,Banglore,Delhi,BLR _ DEL,17:45,20:45,3h,non-stop,No info,7229
6633,Jet Airways,09-05-2019,Delhi,Cochin,DEL _ BOM _ COK,19:45,10-05-2019 04:25,8h 40m,1 stop,In-flight meal not included,12373
6634,Air India,27-04-2019,Delhi,Cochin,DEL _ COK,14:10,17:10,3h,non-stop,No info,6094
6635,Jet Airways,12-06-2019,Delhi,Cochin,DEL _ BOM _ COK,20:55,13-06-2019 12:35,15h 40m,1 stop,In-flight meal not included,10262
6636,Jet Airways,09-04-2019,Delhi,Cochin,DEL _ JDH _ BOM _ COK,11:40,19:00,7h 20m,2 stops,No info,15439
6637,IndiGo,06-05-2019,Banglore,Delhi,BLR _ DEL,23:30,07-05-2019 02:20,2h 50m,non-stop,No info,4077
6638,GoAir,18-05-2019,Banglore,Delhi,BLR _ DEL,20:55,23:40,2h 45m,non-stop,No info,4632
6639,Jet Airways,06-06-2019,Kolkata,Banglore,CCU _ DEL _ BLR,09:35,18:00,8h 25m,1 stop,No info,12692
6640,IndiGo,24-04-2019,Kolkata,Banglore,CCU _ HYD _ BLR,19:20,23:45,4h 25m,1 stop,No info,3480
6641,Multiple carriers,18-05-2019,Delhi,Cochin,DEL _ IXU _ BOM _ COK,17:50,19-05-2019 01:30,7h 40m,2 stops,No info,19360
6642,Jet Airways,15-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,11:40,16-03-2019 08:15,20h 35m,1 stop,In-flight meal not included,9134
6643,Multiple carriers,24-06-2019,Delhi,Cochin,DEL _ BOM _ COK,14:00,21:00,7h,1 stop,No info,13587
6644,Jet Airways,09-05-2019,Delhi,Cochin,DEL _ BOM _ COK,17:30,10-05-2019 19:00,25h 30m,1 stop,No info,15554
6645,Jet Airways,09-03-2019,Banglore,New Delhi,BLR _ DEL,19:55,22:35,2h 40m,non-stop,No info,7229
6646,IndiGo,06-03-2019,Delhi,Cochin,DEL _ HYD _ COK,08:35,22:20,13h 45m,1 stop,No info,7514
6647,Multiple carriers,06-06-2019,Delhi,Cochin,DEL _ BOM _ COK,08:00,21:00,13h,1 stop,No info,13587
6648,Jet Airways,09-06-2019,Banglore,Delhi,BLR _ DEL,07:10,10:10,3h,non-stop,In-flight meal not included,7229
6649,Jet Airways,01-06-2019,Delhi,Cochin,DEL _ BOM _ COK,02:15,02-06-2019 04:25,26h 10m,1 stop,In-flight meal not included,10262
6650,IndiGo,03-03-2019,Delhi,Cochin,DEL _ BOM _ COK,07:30,21:00,13h 30m,1 stop,No info,14871
6651,Multiple carriers,27-05-2019,Delhi,Cochin,DEL _ BOM _ COK,08:45,19:00,10h 15m,1 stop,No info,10529
6652,IndiGo,12-06-2019,Delhi,Cochin,DEL _ HYD _ COK,07:35,22:30,14h 55m,1 stop,No info,6442
6653,IndiGo,21-05-2019,Kolkata,Banglore,CCU _ HYD _ BLR,15:15,20:05,4h 50m,1 stop,No info,5170
6654,IndiGo,15-05-2019,Delhi,Cochin,DEL _ HYD _ COK,07:35,22:30,14h 55m,1 stop,No info,6442
6655,IndiGo,27-05-2019,Banglore,Delhi,BLR _ DEL,00:30,03:25,2h 55m,non-stop,No info,3419
6656,Jet Airways,06-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,20:35,07-03-2019 10:25,13h 50m,1 stop,No info,17261
6657,SpiceJet,24-06-2019,Chennai,Kolkata,MAA _ CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3543
6658,Air Asia,12-05-2019,Banglore,Delhi,BLR _ DEL,11:10,13:55,2h 45m,non-stop,No info,3383
6659,Air India,24-06-2019,Delhi,Cochin,DEL _ GOI _ BOM _ COK,22:00,25-06-2019 19:15,21h 15m,2 stops,No info,9181
6660,Jet Airways,12-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,18:55,13-03-2019 11:25,16h 30m,1 stop,In-flight meal not included,11087
6661,Jet Airways,18-04-2019,Banglore,Delhi,BLR _ DEL,07:10,10:10,3h,non-stop,No info,7229
6662,Multiple carriers,09-03-2019,Delhi,Cochin,DEL _ BOM _ COK,04:45,19:15,14h 30m,1 stop,No info,11249
6663,Jet Airways,06-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,07:00,23:00,16h,1 stop,No info,16736
6664,Jet Airways,24-06-2019,Delhi,Cochin,DEL _ BOM _ COK,17:30,25-06-2019 04:25,10h 55m,1 stop,In-flight meal not included,10262
6665,Jet Airways,01-06-2019,Delhi,Cochin,DEL _ BOM _ COK,14:00,19:00,5h,1 stop,In-flight meal not included,10262
6666,Jet Airways,15-05-2019,Mumbai,Hyderabad,BOM _ HYD,02:55,04:20,1h 25m,non-stop,No info,5678
6667,Multiple carriers,21-03-2019,Delhi,Cochin,DEL _ BOM _ COK,09:00,15:30,6h 30m,1 stop,No info,8307
6668,Air India,18-05-2019,Delhi,Cochin,DEL _ MAA _ COK,17:20,19-05-2019 09:25,16h 5m,1 stop,No info,7690
6669,Jet Airways,18-05-2019,Delhi,Cochin,DEL _ AMD _ BOM _ COK,13:25,19-05-2019 12:35,23h 10m,2 stops,No info,16704
6670,Air India,09-03-2019,Delhi,Cochin,DEL _ BOM _ COK,04:00,10-03-2019 07:40,27h 40m,1 stop,No info,10315
6671,Jet Airways,27-05-2019,Delhi,Cochin,DEL _ JAI _ BOM _ COK,09:40,28-05-2019 12:35,26h 55m,2 stops,No info,15129
6672,Air India,24-03-2019,Kolkata,Banglore,CCU _ DEL _ BLR,07:00,25-03-2019 08:55,25h 55m,1 stop,No info,12173
6673,Air India,03-04-2019,Kolkata,Banglore,CCU _ HYD _ BLR,19:00,04-04-2019 11:05,16h 5m,1 stop,No info,4227
6674,IndiGo,12-06-2019,Banglore,Delhi,BLR _ DEL,06:05,08:50,2h 45m,non-stop,No info,3943
6675,Jet Airways,01-06-2019,Banglore,Delhi,BLR _ DEL,11:10,14:05,2h 55m,non-stop,In-flight meal not included,7229
6676,Vistara,15-05-2019,Kolkata,Banglore,CCU _ DEL _ BLR,07:10,20:20,13h 10m,1 stop,No info,8610
6677,IndiGo,09-03-2019,Banglore,New Delhi,BLR _ DEL,07:10,10:05,2h 55m,non-stop,No info,7303
6678,Jet Airways,18-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,18:40,16-03-2019 07:40,13h,1 stop,In-flight meal not included,10972
6679,Multiple carriers,18-05-2019,Delhi,Cochin,DEL _ BOM _ COK,10:20,21:00,10h 40m,1 stop,No info,7670
6680,Air India,15-05-2019,Delhi,Cochin,DEL _ BOM _ COK,10:00,19:15,9h 15m,1 stop,No info,8372
6681,IndiGo,01-06-2019,Delhi,Cochin,DEL _ BOM _ COK,15:00,02-06-2019 01:30,10h 30m,1 stop,No info,6628
6682,Jet Airways,09-06-2019,Delhi,Cochin,DEL _ BOM _ COK,13:00,10-06-2019 12:35,23h 35m,1 stop,In-flight meal not included,10262
6683,Jet Airways,24-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,16:30,25-05-2019 09:20,16h 50m,1 stop,No info,14178
6684,Jet Airways,27-03-2019,Delhi,Cochin,DEL _ MAA _ BOM _ COK,05:10,18:50,13h 40m,2 stops,In-flight meal not included,8518
6685,Jet Airways,24-06-2019,Delhi,Cochin,DEL _ NAG _ BOM _ COK,14:35,25-06-2019 12:35,22h,2 stops,No info,13376
6686,Vistara,12-06-2019,Kolkata,Banglore,CCU _ DEL _ BLR,17:00,13-06-2019 10:45,17h 45m,1 stop,No info,8452
6687,Jet Airways,24-06-2019,Delhi,Cochin,DEL _ BOM _ COK,02:15,12:35,10h 20m,1 stop,No info,18371
6688,SpiceJet,03-04-2019,Mumbai,Hyderabad,BOM _ HYD,13:15,14:45,1h 30m,non-stop,No check-in baggage included,1965
6689,Jet Airways,01-06-2019,Delhi,Cochin,DEL _ JAI _ BOM _ COK,19:30,02-06-2019 12:35,17h 5m,2 stops,In-flight meal not included,10368
6690,Jet Airways,06-05-2019,Kolkata,Banglore,CCU _ DEL _ BLR,20:25,07-05-2019 18:00,21h 35m,1 stop,No info,11467
6691,Jet Airways,09-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,16:30,10-05-2019 04:40,12h 10m,1 stop,No info,14781
6692,Air India,06-03-2019,Mumbai,Hyderabad,BOM _ BLR _ HYD,20:15,07-03-2019 09:15,13h,1 stop,No info,9535
6693,Air India,03-04-2019,Mumbai,Hyderabad,BOM _ HYD,21:05,22:25,1h 20m,non-stop,No info,2050
6694,Jet Airways,12-06-2019,Delhi,Cochin,DEL _ JAI _ BOM _ COK,19:30,13-06-2019 04:25,8h 55m,2 stops,In-flight meal not included,10368
6695,Jet Airways,24-03-2019,Kolkata,Banglore,CCU _ BOM _ BLR,08:25,22:35,14h 10m,1 stop,In-flight meal not included,10031
6696,SpiceJet,21-04-2019,Kolkata,Banglore,CCU _ BLR,09:00,11:25,2h 25m,non-stop,No info,4491
6697,Jet Airways,15-05-2019,Banglore,Delhi,BLR _ DEL,17:45,20:45,3h,non-stop,No info,7229
6698,SpiceJet,03-03-2019,Banglore,New Delhi,BLR _ PNQ _ DEL,10:20,18:15,7h 55m,1 stop,No info,11401
6699,IndiGo,27-06-2019,Chennai,Kolkata,MAA _ CCU,14:45,17:05,2h 20m,non-stop,No info,3597
6700,Vistara,12-06-2019,Kolkata,Banglore,CCU _ DEL _ BLR,17:00,13-06-2019 09:05,16h 5m,1 stop,No info,7927
6701,SpiceJet,01-05-2019,Kolkata,Banglore,CCU _ BLR,09:00,11:25,2h 25m,non-stop,No info,4174
6702,Air India,01-05-2019,Kolkata,Banglore,CCU _ DEL _ BLR,07:00,16:15,9h 15m,1 stop,No info,10203
6703,Vistara,09-05-2019,Kolkata,Banglore,CCU _ DEL _ BLR,07:10,20:20,13h 10m,1 stop,No info,8610
6704,Jet Airways,12-06-2019,Banglore,Delhi,BLR _ DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,5769
6705,IndiGo,01-05-2019,Kolkata,Banglore,CCU _ BLR,11:30,14:05,2h 35m,non-stop,No info,5644
6706,Jet Airways,03-06-2019,Banglore,Delhi,BLR _ DEL,07:10,10:10,3h,non-stop,In-flight meal not included,5769
6707,Jet Airways,15-05-2019,Banglore,Delhi,BLR _ DEL,06:00,08:45,2h 45m,non-stop,No info,7229
6708,IndiGo,09-06-2019,Kolkata,Banglore,CCU _ MAA _ BLR,06:20,10:20,4h,1 stop,No info,4226
6709,IndiGo,09-03-2019,Banglore,New Delhi,BLR _ HYD _ DEL,12:05,17:05,5h,1 stop,No info,4588
6710,Jet Airways,21-05-2019,Mumbai,Hyderabad,BOM _ HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4995
6711,Jet Airways,01-04-2019,Delhi,Cochin,DEL _ BOM _ COK,17:30,02-04-2019 12:35,19h 5m,1 stop,In-flight meal not included,5406
6712,SpiceJet,24-06-2019,Kolkata,Banglore,CCU _ BLR,17:10,19:40,2h 30m,non-stop,No info,3873
6713,Jet Airways,06-03-2019,Delhi,Cochin,DEL _ BOM _ COK,11:30,18:50,7h 20m,1 stop,No info,17024
6714,SpiceJet,09-06-2019,Delhi,Cochin,DEL _ PNQ _ COK,08:45,13:15,4h 30m,1 stop,No check-in baggage included,5158
6715,Jet Airways,01-05-2019,Mumbai,Hyderabad,BOM _ HYD,10:20,11:50,1h 30m,non-stop,No info,8040
6716,Jet Airways,18-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,05:45,16:20,10h 35m,1 stop,In-flight meal not included,10844
6717,Air India,12-05-2019,Chennai,Kolkata,MAA _ CCU,11:40,13:55,2h 15m,non-stop,No info,4667
6718,Jet Airways,03-04-2019,Mumbai,Hyderabad,BOM _ HYD,19:35,21:05,1h 30m,non-stop,No info,5678
6719,Air India,12-05-2019,Kolkata,Banglore,CCU _ IXR _ DEL _ BLR,05:50,20:25,14h 35m,2 stops,No info,12513
6720,Jet Airways,27-06-2019,Banglore,Delhi,BLR _ DEL,07:10,10:10,3h,non-stop,No info,8016
6721,SpiceJet,01-06-2019,Chennai,Kolkata,MAA _ CCU,17:45,20:05,2h 20m,non-stop,No check-in baggage included,3543
6722,Jet Airways,21-03-2019,Delhi,Cochin,DEL _ BOM _ COK,17:30,22-03-2019 04:25,10h 55m,1 stop,In-flight meal not included,5963
6723,Jet Airways,18-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,08:25,16:20,7h 55m,1 stop,No info,14781
6724,Jet Airways,18-05-2019,Delhi,Cochin,DEL _ BOM _ COK,09:00,19-05-2019 12:35,27h 35m,1 stop,In-flight meal not included,12373
6725,Jet Airways,01-06-2019,Mumbai,Hyderabad,BOM _ HYD,19:35,21:05,1h 30m,non-stop,In-flight meal not included,3210
6726,Jet Airways,15-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,05:45,18:25,12h 40m,1 stop,In-flight meal not included,9134
6727,Jet Airways,06-06-2019,Delhi,Cochin,DEL _ NAG _ BOM _ COK,14:35,07-06-2019 04:25,13h 50m,2 stops,In-flight meal not included,10919
6728,IndiGo,01-05-2019,Mumbai,Hyderabad,BOM _ HYD,09:10,10:40,1h 30m,non-stop,No info,4575
6729,IndiGo,15-06-2019,Delhi,Cochin,DEL _ COK,05:35,08:50,3h 15m,non-stop,No info,5601
6730,Jet Airways,18-05-2019,Kolkata,Banglore,CCU _ DEL _ BLR,17:00,23:35,6h 35m,1 stop,No info,14151
6731,Air India,06-05-2019,Kolkata,Banglore,CCU _ BBI _ BOM _ BLR,12:00,07-05-2019 07:55,19h 55m,2 stops,No info,10151
6732,Vistara,18-04-2019,Banglore,Delhi,BLR _ DEL,09:45,12:35,2h 50m,non-stop,No info,5403
6733,IndiGo,27-05-2019,Delhi,Cochin,DEL _ BLR _ COK,02:00,07:45,5h 45m,1 stop,No info,6147
6734,IndiGo,27-06-2019,Kolkata,Banglore,CCU _ BLR,14:25,16:55,2h 30m,non-stop,No info,4804
6735,Multiple carriers,27-03-2019,Delhi,Cochin,DEL _ BOM _ COK,08:55,19:15,10h 20m,1 stop,No info,8371
6736,Jet Airways,09-06-2019,Delhi,Cochin,DEL _ JAI _ BOM _ COK,19:30,10-06-2019 04:25,8h 55m,2 stops,No info,13014
6737,Air Asia,24-05-2019,Banglore,Delhi,BLR _ DEL,04:55,07:45,2h 50m,non-stop,No info,3383
6738,SpiceJet,06-03-2019,Chennai,Kolkata,MAA _ CCU,17:45,20:05,2h 20m,non-stop,No info,7298
6739,Jet Airways,03-04-2019,Banglore,Delhi,BLR _ DEL,07:10,10:10,3h,non-stop,In-flight meal not included,4544
6740,Multiple carriers,06-03-2019,Delhi,Cochin,DEL _ BOM _ COK,08:55,15:30,6h 35m,1 stop,No info,15147
6741,Multiple carriers,09-03-2019,Delhi,Cochin,DEL _ BOM _ COK,04:45,19:45,15h,1 stop,No info,10782
6742,IndiGo,15-05-2019,Delhi,Cochin,DEL _ BLR _ COK,15:10,20:00,4h 50m,1 stop,No info,6027
6743,Jet Airways,06-06-2019,Delhi,Cochin,DEL _ NAG _ BOM _ COK,14:35,07-06-2019 04:25,13h 50m,2 stops,In-flight meal not included,10919
6744,Air India,27-03-2019,Delhi,Cochin,DEL _ BLR _ COK,06:10,28-03-2019 08:15,26h 5m,1 stop,No info,6681
6745,IndiGo,24-06-2019,Banglore,Delhi,BLR _ DEL,23:30,25-06-2019 02:20,2h 50m,non-stop,No info,3943
6746,Jet Airways,27-05-2019,Delhi,Cochin,DEL _ BOM _ COK,21:50,28-05-2019 12:35,14h 45m,1 stop,In-flight meal not included,12898
6747,IndiGo,06-06-2019,Delhi,Cochin,DEL _ BOM _ COK,18:35,07-06-2019 01:30,6h 55m,1 stop,No info,6628
6748,Air India,03-04-2019,Delhi,Cochin,DEL _ BLR _ COK,20:30,04-04-2019 23:00,26h 30m,1 stop,No info,5022
6749,Air India,03-06-2019,Delhi,Cochin,DEL _ LKO _ BOM _ COK,07:10,04-06-2019 07:40,24h 30m,2 stops,No info,12698
6750,Air Asia,09-06-2019,Delhi,Cochin,DEL _ BLR _ COK,20:45,10-06-2019 07:10,10h 25m,1 stop,No info,10794
6751,IndiGo,09-06-2019,Delhi,Cochin,DEL _ BOM _ COK,11:25,21:00,9h 35m,1 stop,No info,6416
6752,SpiceJet,09-03-2019,Kolkata,Banglore,CCU _ BLR,22:20,10-03-2019 00:40,2h 20m,non-stop,No info,4622
6753,IndiGo,27-05-2019,Banglore,Delhi,BLR _ DEL,13:00,15:50,2h 50m,non-stop,No info,3943
6754,Air Asia,06-06-2019,Kolkata,Banglore,CCU _ BLR,19:55,22:25,2h 30m,non-stop,No info,4508
6755,Vistara,12-06-2019,Kolkata,Banglore,CCU _ DEL _ BLR,07:10,22:40,15h 30m,1 stop,No info,8452
6756,Air India,12-05-2019,Kolkata,Banglore,CCU _ GAU _ DEL _ BLR,16:45,13-05-2019 08:55,16h 10m,2 stops,No info,13437
6757,Vistara,18-05-2019,Chennai,Kolkata,MAA _ CCU,17:45,20:05,2h 20m,non-stop,No info,11982
6758,Jet Airways,24-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,18:55,25-05-2019 12:00,17h 5m,1 stop,In-flight meal not included,10844
6759,Jet Airways,09-05-2019,Delhi,Cochin,DEL _ JAI _ BOM _ COK,09:40,10-05-2019 04:25,18h 45m,2 stops,No info,15129
6760,Jet Airways,27-06-2019,Delhi,Cochin,DEL _ BOM _ COK,14:00,19:00,5h,1 stop,No info,14714
6761,IndiGo,27-06-2019,Delhi,Cochin,DEL _ BOM _ COK,06:40,21:00,14h 20m,1 stop,No info,6093
6762,IndiGo,06-04-2019,Delhi,Cochin,DEL _ BOM _ COK,04:55,13:20,8h 25m,1 stop,No info,5307
6763,GoAir,15-05-2019,Delhi,Cochin,DEL _ BOM _ COK,14:25,19:35,5h 10m,1 stop,No info,10188
6764,Jet Airways,06-06-2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,07-06-2019 08:15,12h 15m,1 stop,No info,14571
6765,Jet Airways,27-03-2019,Delhi,Cochin,DEL _ AMD _ BOM _ COK,19:10,28-03-2019 04:25,9h 15m,2 stops,No info,10976
6766,Jet Airways,24-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,06:30,16:20,9h 50m,1 stop,In-flight meal not included,10844
6767,IndiGo,09-04-2019,Kolkata,Banglore,CCU _ BLR,20:20,22:55,2h 35m,non-stop,No info,4488
6768,Air India,24-05-2019,Delhi,Cochin,DEL _ BOM _ COK,23:00,25-05-2019 19:15,20h 15m,1 stop,No info,8582
6769,Jet Airways,24-06-2019,Delhi,Cochin,DEL _ BOM _ COK,19:45,25-06-2019 12:35,16h 50m,1 stop,In-flight meal not included,10262
6770,Vistara,06-05-2019,Kolkata,Banglore,CCU _ DEL _ BLR,17:00,07-05-2019 10:45,17h 45m,1 stop,No info,8662
6771,IndiGo,24-03-2019,Banglore,New Delhi,BLR _ DEL,06:00,08:45,2h 45m,non-stop,No info,4777
6772,Jet Airways,27-03-2019,Mumbai,Hyderabad,BOM _ HYD,15:50,17:20,1h 30m,non-stop,In-flight meal not included,2071
6773,Jet Airways,12-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,22:55,13-03-2019 15:15,16h 20m,1 stop,In-flight meal not included,11087
6774,Air India,18-04-2019,Banglore,Delhi,BLR _ DEL,21:05,23:55,2h 50m,non-stop,No info,5228
6775,Jet Airways,01-04-2019,Kolkata,Banglore,CCU _ BOM _ BLR,06:30,16:20,9h 50m,1 stop,No info,12996
6776,Jet Airways,06-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,08:00,23:00,15h,1 stop,No info,16736
6777,Jet Airways,01-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,18:55,02-05-2019 10:05,15h 10m,1 stop,No info,13941
6778,Air India,15-03-2019,Banglore,New Delhi,BLR _ GAU _ DEL,13:50,22:10,8h 20m,1 stop,No info,9166
6779,Air India,03-03-2019,Delhi,Cochin,DEL _ TRV _ COK,05:15,04-03-2019 06:50,25h 35m,1 stop,No info,12677
6780,Air India,24-03-2019,Chennai,Kolkata,MAA _ CCU,11:40,13:55,2h 15m,non-stop,No info,4405
6781,Jet Airways,06-05-2019,Kolkata,Banglore,CCU _ DEL _ BLR,09:35,23:35,14h,1 stop,No info,12121
6782,Air India,06-06-2019,Banglore,Delhi,BLR _ DEL,21:05,23:55,2h 50m,non-stop,No info,6121
6783,Jet Airways,18-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,08:25,19-05-2019 09:20,24h 55m,1 stop,No info,14388
6784,Jet Airways,01-04-2019,Kolkata,Banglore,CCU _ DEL _ BLR,20:25,02-04-2019 10:55,14h 30m,1 stop,No info,11467
6785,Jet Airways,12-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,21:25,13-03-2019 10:25,13h,1 stop,No info,13817
6786,Air India,06-05-2019,Mumbai,Hyderabad,BOM _ HYD,19:30,20:45,1h 15m,non-stop,No info,3100
6787,Multiple carriers,21-05-2019,Delhi,Cochin,DEL _ BOM _ COK,11:40,19:15,7h 35m,1 stop,No info,8266
6788,Jet Airways,24-03-2019,Kolkata,Banglore,CCU _ BOM _ BLR,19:45,25-03-2019 23:25,27h 40m,1 stop,No info,13759
6789,IndiGo,09-06-2019,Banglore,Delhi,BLR _ DEL,00:25,03:15,2h 50m,non-stop,No info,3943
6790,Multiple carriers,27-03-2019,Delhi,Cochin,DEL _ BOM _ COK,18:15,28-03-2019 01:35,7h 20m,1 stop,No info,12327
6791,IndiGo,12-06-2019,Mumbai,Hyderabad,BOM _ HYD,06:25,07:55,1h 30m,non-stop,No info,4049
6792,SpiceJet,01-06-2019,Banglore,Delhi,BLR _ DEL,21:10,02-06-2019 00:05,2h 55m,non-stop,No check-in baggage included,3573
6793,Air Asia,15-05-2019,Kolkata,Banglore,CCU _ BLR,19:55,22:25,2h 30m,non-stop,No info,4409
6794,Air India,27-03-2019,Delhi,Cochin,DEL _ HYD _ MAA _ COK,07:05,28-03-2019 09:25,26h 20m,2 stops,No info,6565
6795,IndiGo,15-04-2019,Kolkata,Banglore,CCU _ BLR,21:25,16-04-2019 00:05,2h 40m,non-stop,No info,4174
6796,Jet Airways,24-05-2019,Banglore,Delhi,BLR _ DEL,07:10,10:10,3h,non-stop,In-flight meal not included,4030
6797,Air Asia,21-03-2019,Kolkata,Banglore,CCU _ BLR,10:20,12:55,2h 35m,non-stop,No info,4082
6798,Air India,24-05-2019,Kolkata,Banglore,CCU _ BBI _ HYD _ BLR,09:10,25-05-2019 11:05,25h 55m,2 stops,No info,6117
6799,Jet Airways,21-03-2019,Banglore,New Delhi,BLR _ BDQ _ DEL,05:50,12:20,6h 30m,1 stop,In-flight meal not included,6163
6800,Jet Airways,27-03-2019,Delhi,Cochin,DEL _ BOM _ COK,16:00,28-03-2019 04:25,12h 25m,1 stop,In-flight meal not included,6540
6801,SpiceJet,12-05-2019,Kolkata,Banglore,CCU _ MAA _ BLR,15:05,20:20,5h 15m,1 stop,No info,4649
6802,Jet Airways,09-06-2019,Delhi,Cochin,DEL _ BOM _ COK,21:50,10-06-2019 19:00,21h 10m,1 stop,In-flight meal not included,10262
6803,Vistara,06-04-2019,Banglore,Delhi,BLR _ DEL,19:30,22:15,2h 45m,non-stop,No info,5613
6804,IndiGo,24-03-2019,Banglore,New Delhi,BLR _ DEL,08:30,11:30,3h,non-stop,No info,6144
6805,Jet Airways,12-05-2019,Kolkata,Banglore,CCU _ DEL _ BLR,17:00,13-05-2019 22:05,29h 5m,1 stop,No info,13067
6806,Vistara,03-03-2019,Banglore,New Delhi,BLR _ DEL,21:10,07-03-2019 00:05,2h 55m,non-stop,No info,7608
6807,Multiple carriers,09-06-2019,Delhi,Cochin,DEL _ BOM _ COK,10:00,10-06-2019 01:30,15h 30m,1 stop,No info,7198
6808,Jet Airways,15-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,16:30,23:35,7h 5m,1 stop,No info,13941
6809,Jet Airways,09-06-2019,Delhi,Cochin,DEL _ JAI _ BOM _ COK,09:40,10-06-2019 04:25,18h 45m,2 stops,In-flight meal not included,10368
6810,SpiceJet,27-06-2019,Chennai,Kolkata,MAA _ CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3543
6811,IndiGo,27-03-2019,Kolkata,Banglore,CCU _ BLR,20:25,23:05,2h 40m,non-stop,No info,4462
6812,Air India,24-03-2019,Kolkata,Banglore,CCU _ IXR _ BBI _ BLR,05:50,13:40,7h 50m,2 stops,No info,8005
6813,Jet Airways,01-04-2019,Kolkata,Banglore,CCU _ BOM _ BLR,18:55,02-04-2019 22:35,27h 40m,1 stop,In-flight meal not included,7064
6814,Jet Airways,01-05-2019,Kolkata,Banglore,CCU _ DEL _ BLR,20:25,02-05-2019 21:05,24h 40m,1 stop,No info,12121
6815,Air India,09-05-2019,Delhi,Cochin,DEL _ JAI _ BOM _ COK,12:00,19:15,7h 15m,2 stops,No info,8918
6816,Air India,12-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,09:25,21:50,12h 25m,1 stop,No info,8891
6817,Air India,01-05-2019,Kolkata,Banglore,CCU _ DEL _ BLR,10:00,16:15,6h 15m,1 stop,No info,10203
6818,Multiple carriers,15-05-2019,Delhi,Cochin,DEL _ BOM _ COK,13:00,21:00,8h,1 stop,No info,8073
6819,IndiGo,03-03-2019,Delhi,Cochin,DEL _ HYD _ COK,16:10,22:20,6h 10m,1 stop,No info,11237
6820,Jet Airways,12-06-2019,Delhi,Cochin,DEL _ NAG _ BOM _ COK,06:45,13-06-2019 04:25,21h 40m,2 stops,No info,13376
6821,Multiple carriers,09-06-2019,Delhi,Cochin,DEL _ HYD _ COK,07:10,22:30,15h 20m,1 stop,No info,6513
6822,Jet Airways,24-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,18:55,25-05-2019 04:40,9h 45m,1 stop,No info,13731
6823,Jet Airways,01-04-2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,02-04-2019 19:50,23h 50m,1 stop,In-flight meal not included,7064
6824,Jet Airways,06-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,05:45,19:10,13h 25m,1 stop,No info,16736
6825,Jet Airways,15-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,16-05-2019 10:05,14h 5m,1 stop,In-flight meal not included,8586
6826,Multiple carriers,15-06-2019,Delhi,Cochin,DEL _ BOM _ COK,06:00,19:00,13h,1 stop,No info,11789
6827,IndiGo,24-05-2019,Kolkata,Banglore,CCU _ BLR,11:30,14:05,2h 35m,non-stop,No info,5224
6828,IndiGo,15-05-2019,Delhi,Cochin,DEL _ COK,21:05,16-05-2019 00:20,3h 15m,non-stop,No info,6834
6829,IndiGo,15-06-2019,Delhi,Cochin,DEL _ BOM _ COK,16:00,16-06-2019 01:30,9h 30m,1 stop,No info,6316
6830,Jet Airways,21-03-2019,Delhi,Cochin,DEL _ BDQ _ BOM _ COK,10:45,22-03-2019 18:50,32h 5m,2 stops,No info,11869
6831,Air Asia,06-03-2019,Kolkata,Banglore,CCU _ BLR,22:50,07-03-2019 01:20,2h 30m,non-stop,No info,4384
6832,IndiGo,21-04-2019,Kolkata,Banglore,CCU _ BLR,14:25,16:55,2h 30m,non-stop,No info,5644
6833,Air India,09-03-2019,Delhi,Cochin,DEL _ CCU _ BOM _ COK,20:15,10-03-2019 19:15,23h,2 stops,No info,19681
6834,Multiple carriers,06-06-2019,Delhi,Cochin,DEL _ BOM _ COK,10:00,07-06-2019 01:30,15h 30m,1 stop,No info,13377
