Airline,Source,Destination,Total_Stops,Duration_Hours_Minutes,Day_of_Departure,Month_of_Departure,Year_of_Departure,Dep_Time_Hour,Dep_Time_Minute,Arrival_Time_Hour,Arrival_Time_Minute,Day_of_Arrival,Month_of_Arrival,Year_of_Arrival
Jet Airways,Mumbai,Hyderabad,0,90,21,6,2019,10,20,11,50,21,6,2019
IndiGo,Delhi,Cochin,1,895,27,5,2019,10,35,1,30,28,5,2019
Jet Airways,Banglore,Delhi,1,1590,3,9,2019,7,0,9,30,13,3,2019
SpiceJet,Kolkata,Banglore,0,150,24,4,2019,17,10,19,40,24,4,2019
Jet Airways,Kolkata,Banglore,1,1285,6,6,2019,17,0,14,25,6,7,2019
Air India,Kolkata,Banglore,2,2000,24,3,2019,13,55,23,15,25,3,2019
Air India,Mumbai,Hyderabad,0,85,5,12,2019,15,0,16,25,5,12,2019
IndiGo,Banglore,Delhi,0,175,15,3,2019,20,0,22,55,15,3,2019
IndiGo,Delhi,Cochin,1,320,21,5,2019,6,50,12,10,21,5,2019
Multiple carriers,Delhi,Cochin,1,615,24,6,2019,15,15,1,30,25,6,2019
Jet Airways,Delhi,Cochin,1,1415,5,9,2019,13,0,12,35,5,10,2019
Jet Airways,Delhi,Cochin,2,1375,5,9,2019,5,30,4,25,5,10,2019
Jet Airways,Delhi,Cochin,1,1655,4,1,2019,9,0,12,35,4,2,2019
Jet Airways,Banglore,Delhi,0,175,18,4,2019,15,15,18,10,18,4,2019
IndiGo,Kolkata,Banglore,0,165,27,6,2019,20,25,23,10,27,6,2019
Air India,Delhi,Cochin,2,1245,27,5,2019,10,55,7,40,28,5,2019
IndiGo,Delhi,Cochin,1,630,6,1,2019,15,0,1,30,6,2,2019
Air India,Banglore,Delhi,0,170,3,3,2019,13,20,16,10,3,3,2019
IndiGo,Delhi,Cochin,1,570,15,5,2019,16,0,1,30,16,5,2019
IndiGo,Banglore,Delhi,0,170,4,9,2019,23,30,2,20,4,10,2019
Jet Airways,Delhi,Cochin,1,925,27,3,2019,13,0,4,25,28,3,2019
Jet Airways,Banglore,Delhi,0,165,15,5,2019,6,0,8,45,15,5,2019
Multiple carriers,Delhi,Cochin,1,515,21,3,2019,17,0,1,35,22,3,2019
Jet Airways,Delhi,Cochin,1,1355,18,5,2019,14,0,12,35,19,5,2019
Multiple carriers,Delhi,Cochin,1,480,3,6,2019,7,30,15,30,3,6,2019
GoAir,Kolkata,Banglore,1,460,24,3,2019,16,25,0,5,25,3,2019
Jet Airways,Kolkata,Banglore,1,345,18,5,2019,11,50,17,35,18,5,2019
Multiple carriers,Delhi,Cochin,1,780,27,5,2019,6,0,19,0,27,5,2019
IndiGo,Delhi,Cochin,1,500,5,9,2019,17,10,1,30,5,10,2019
Jet Airways,Kolkata,Banglore,1,1630,5,1,2019,20,25,23,35,5,2,2019
Jet Airways,Delhi,Cochin,1,1355,21,5,2019,14,0,12,35,22,5,2019
Multiple carriers,Delhi,Cochin,1,830,18,5,2019,11,40,1,30,19,5,2019
IndiGo,Banglore,Delhi,0,175,5,12,2019,18,55,21,50,5,12,2019
Air India,Delhi,Cochin,2,1595,6,12,2019,16,40,19,15,13,6,2019
IndiGo,Delhi,Cochin,1,265,21,3,2019,7,35,12,0,21,3,2019
Air India,Banglore,Delhi,0,165,6,12,2019,10,0,12,45,6,12,2019
Multiple carriers,Delhi,Cochin,1,760,6,6,2019,12,50,1,30,6,7,2019
Vistara,Kolkata,Banglore,1,930,5,1,2019,7,10,22,40,5,1,2019
Multiple carriers,Delhi,Cochin,1,630,18,5,2019,15,0,1,30,19,5,2019
Air India,Kolkata,Banglore,1,545,15,5,2019,9,25,18,30,15,5,2019
Jet Airways,Delhi,Cochin,1,1100,6,1,2019,18,15,12,35,6,2,2019
IndiGo,Kolkata,Banglore,0,155,4,12,2019,15,30,18,5,4,12,2019
IndiGo,Delhi,Cochin,1,630,6,9,2019,15,0,1,30,6,10,2019
Air Asia,Kolkata,Banglore,0,150,4,9,2019,19,55,22,25,4,9,2019
Jet Airways,Banglore,Delhi,0,175,15,6,2019,11,10,14,5,15,6,2019
IndiGo,Delhi,Cochin,1,425,3,3,2019,8,25,15,30,3,3,2019
IndiGo,Banglore,Delhi,0,165,21,4,2019,6,5,8,50,21,4,2019
Air India,Delhi,Cochin,2,1275,6,1,2019,22,0,19,15,6,2,2019
Jet Airways,Kolkata,Banglore,1,1655,5,9,2019,8,25,12,0,5,10,2019
Jet Airways,Banglore,Delhi,0,180,6,9,2019,8,20,11,20,6,9,2019
Air India,Kolkata,Banglore,1,1700,5,9,2019,16,45,21,5,5,10,2019
IndiGo,Kolkata,Banglore,1,320,6,9,2019,15,10,20,30,6,9,2019
Jet Airways,Delhi,Cochin,1,940,27,5,2019,20,55,12,35,28,5,2019
IndiGo,Delhi,Cochin,1,305,3,9,2019,20,30,1,35,3,10,2019
SpiceJet,Kolkata,Banglore,0,155,4,9,2019,6,55,9,30,4,9,2019
Jet Airways,Banglore,Delhi,0,180,4,9,2019,7,10,10,10,4,9,2019
Multiple carriers,Delhi,Cochin,1,755,27,3,2019,9,45,22,20,27,3,2019
Jet Airways,Delhi,Cochin,2,1760,27,6,2019,23,5,4,25,29,6,2019
Jet Airways,Banglore,Delhi,0,180,5,6,2019,7,10,10,10,5,6,2019
Jet Airways Business,Banglore,Delhi,1,340,3,1,2019,5,45,11,25,3,1,2019
Air India,Delhi,Cochin,1,705,3,9,2019,20,30,8,15,3,10,2019
Jet Airways,Mumbai,Hyderabad,0,90,27,3,2019,15,50,17,20,27,3,2019
IndiGo,Banglore,Delhi,0,175,4,6,2019,7,10,10,5,4,6,2019
Air India,Kolkata,Banglore,2,1830,4,1,2019,16,45,23,15,4,2,2019
Jet Airways,Delhi,Cochin,1,300,6,12,2019,14,0,19,0,6,12,2019
Air India,Banglore,Delhi,2,1375,3,12,2019,17,25,16,20,13,3,2019
Jet Airways,Kolkata,Banglore,1,1285,6,9,2019,18,55,16,20,6,10,2019
Jet Airways,Kolkata,Banglore,1,1685,5,12,2019,17,0,21,5,13,5,2019
IndiGo,Kolkata,Banglore,1,295,24,5,2019,9,20,14,15,24,5,2019
Jet Airways,Kolkata,Banglore,1,685,6,9,2019,8,25,19,50,6,9,2019
Multiple carriers,Delhi,Cochin,1,450,6,1,2019,18,0,1,30,6,2,2019
Air India,Banglore,Delhi,1,1490,3,3,2019,10,30,11,20,3,7,2019
IndiGo,Delhi,Cochin,1,305,6,12,2019,20,25,1,30,13,6,2019
Jet Airways,Kolkata,Banglore,1,730,15,5,2019,16,30,4,40,16,5,2019
Air India,Delhi,Cochin,2,1470,27,5,2019,7,10,7,40,28,5,2019
IndiGo,Kolkata,Banglore,1,265,4,9,2019,19,20,23,45,4,9,2019
Jet Airways,Delhi,Cochin,2,425,5,9,2019,5,30,12,35,5,9,2019
Jet Airways,Delhi,Cochin,0,195,24,6,2019,11,0,14,15,24,6,2019
Multiple carriers,Delhi,Cochin,2,850,3,6,2019,7,10,21,20,3,6,2019
Multiple carriers,Delhi,Cochin,1,910,18,5,2019,3,50,19,0,18,5,2019
IndiGo,Kolkata,Banglore,0,155,3,9,2019,15,20,17,55,3,9,2019
SpiceJet,Mumbai,Hyderabad,0,85,21,3,2019,22,45,0,10,22,3,2019
Jet Airways,Kolkata,Banglore,1,775,5,1,2019,21,10,10,5,5,2,2019
IndiGo,Delhi,Cochin,1,835,18,5,2019,8,35,22,30,18,5,2019
Jet Airways,Kolkata,Banglore,1,1745,15,5,2019,17,0,22,5,16,5,2019
Vistara,Banglore,Delhi,0,160,24,3,2019,19,40,22,20,24,3,2019
Jet Airways,Delhi,Cochin,1,330,27,6,2019,7,5,12,35,27,6,2019
Jet Airways,Banglore,Delhi,0,185,4,9,2019,18,55,22,0,4,9,2019
Jet Airways,Delhi,Cochin,1,1655,6,9,2019,9,0,12,35,6,10,2019
Air India,Mumbai,Hyderabad,1,795,3,12,2019,5,55,19,10,3,12,2019
IndiGo,Kolkata,Banglore,0,165,3,3,2019,9,35,12,20,3,3,2019
IndiGo,Delhi,Cochin,0,195,6,9,2019,5,35,8,50,6,9,2019
IndiGo,Delhi,Cochin,1,315,15,6,2019,7,15,12,30,15,6,2019
Jet Airways,Banglore,Delhi,0,180,15,5,2019,17,45,20,45,15,5,2019
Air India,Delhi,Cochin,2,1100,15,6,2019,13,20,7,40,16,6,2019
Multiple carriers,Delhi,Cochin,1,440,3,3,2019,11,30,18,50,3,3,2019
Jet Airways,Delhi,Cochin,2,810,6,9,2019,5,30,19,0,6,9,2019
IndiGo,Chennai,Kolkata,0,140,18,3,2019,22,5,0,25,19,3,2019
Multiple carriers,Delhi,Cochin,1,890,3,6,2019,4,0,18,50,3,6,2019
Jet Airways,Banglore,Delhi,0,175,4,9,2019,15,50,18,45,4,9,2019
IndiGo,Delhi,Cochin,1,575,27,6,2019,11,25,21,0,27,6,2019
Jet Airways,Kolkata,Banglore,1,575,4,1,2019,9,35,19,10,4,1,2019
Jet Airways,Kolkata,Banglore,1,1495,4,1,2019,18,55,19,50,4,2,2019
IndiGo,Delhi,Cochin,1,560,27,5,2019,6,50,16,10,27,5,2019
IndiGo,Delhi,Cochin,1,285,3,3,2019,10,45,15,30,3,3,2019
SpiceJet,Kolkata,Banglore,0,150,6,12,2019,17,10,19,40,6,12,2019
Jet Airways,Delhi,Cochin,2,560,27,6,2019,9,40,19,0,27,6,2019
Air India,Banglore,Delhi,0,165,5,6,2019,6,10,8,55,5,6,2019
Multiple carriers Premium economy,Delhi,Cochin,1,725,21,3,2019,8,55,21,0,21,3,2019
IndiGo,Kolkata,Banglore,1,320,4,1,2019,15,10,20,30,4,1,2019
IndiGo,Chennai,Kolkata,0,140,3,3,2019,7,55,10,15,3,3,2019
Jet Airways Business,Banglore,Delhi,1,280,3,1,2019,9,45,14,25,3,1,2019
Air India,Delhi,Cochin,2,1490,24,6,2019,6,50,7,40,25,6,2019
Multiple carriers,Delhi,Cochin,1,935,21,3,2019,10,0,1,35,22,3,2019
Jet Airways,Delhi,Cochin,2,1470,3,3,2019,18,20,18,50,3,4,2019
Jet Airways,Delhi,Cochin,2,1460,15,6,2019,12,15,12,35,16,6,2019
Jet Airways,Delhi,Cochin,2,810,27,6,2019,23,5,12,35,28,6,2019
IndiGo,Chennai,Kolkata,0,140,6,12,2019,22,5,0,25,13,6,2019
Vistara,Chennai,Kolkata,0,140,15,5,2019,17,45,20,5,15,5,2019
Air India,Kolkata,Banglore,2,1665,5,1,2019,10,0,13,45,5,2,2019
IndiGo,Chennai,Kolkata,0,140,27,3,2019,22,5,0,25,28,3,2019
Vistara,Delhi,Cochin,0,190,15,4,2019,14,40,17,50,15,4,2019
IndiGo,Chennai,Kolkata,0,140,18,6,2019,19,35,21,55,18,6,2019
Air India,Delhi,Cochin,0,170,5,12,2019,5,10,8,0,5,12,2019
IndiGo,Delhi,Cochin,1,515,27,3,2019,7,35,16,10,27,3,2019
Multiple carriers,Delhi,Cochin,1,810,6,6,2019,7,30,21,0,6,6,2019
Air India,Delhi,Cochin,1,795,6,6,2019,9,45,23,0,6,6,2019
Jet Airways,Delhi,Cochin,2,750,27,3,2019,6,20,18,50,27,3,2019
Jet Airways,Banglore,Delhi,0,175,4,1,2019,11,10,14,5,4,1,2019
IndiGo,Delhi,Cochin,1,325,27,4,2019,2,0,7,25,27,4,2019
Jet Airways,Banglore,Delhi,0,180,27,4,2019,19,50,22,50,27,4,2019
Multiple carriers,Delhi,Cochin,1,720,18,5,2019,9,0,21,0,18,5,2019
SpiceJet,Kolkata,Banglore,0,140,6,12,2019,22,20,0,40,13,6,2019
IndiGo,Delhi,Cochin,1,345,6,9,2019,21,50,3,35,6,10,2019
Vistara,Banglore,Delhi,0,170,15,5,2019,11,30,14,20,15,5,2019
Air India,Banglore,Delhi,0,170,6,3,2019,13,20,16,10,6,3,2019
IndiGo,Mumbai,Hyderabad,0,90,5,12,2019,12,0,13,30,5,12,2019
Jet Airways,Kolkata,Banglore,1,800,18,5,2019,20,0,9,20,19,5,2019
Jet Airways,Banglore,Delhi,1,315,3,1,2019,8,0,13,15,3,1,2019
Air India,Kolkata,Banglore,3,1040,24,3,2019,5,55,23,15,24,3,2019
Jet Airways,Banglore,Delhi,0,180,15,5,2019,8,20,11,20,15,5,2019
Jet Airways,Delhi,Cochin,2,830,6,12,2019,14,35,4,25,13,6,2019
IndiGo,Banglore,Delhi,1,285,3,9,2019,16,50,21,35,3,9,2019
SpiceJet,Delhi,Cochin,1,295,21,5,2019,17,55,22,50,21,5,2019
IndiGo,Delhi,Cochin,1,300,15,6,2019,16,0,21,0,15,6,2019
Jet Airways,Kolkata,Banglore,1,585,18,5,2019,18,55,4,40,19,5,2019
GoAir,Delhi,Cochin,1,355,21,5,2019,7,25,13,20,21,5,2019
Vistara,Kolkata,Banglore,1,1595,24,3,2019,20,20,22,55,25,3,2019
Jet Airways,Kolkata,Banglore,1,735,18,5,2019,20,0,8,15,19,5,2019
Multiple carriers,Delhi,Cochin,1,780,5,9,2019,6,0,19,0,5,9,2019
Air India,Kolkata,Banglore,2,1255,6,12,2019,16,50,13,45,13,6,2019
Jet Airways,Banglore,Delhi,1,1090,3,6,2019,14,5,8,15,3,7,2019
Jet Airways,Kolkata,Banglore,1,700,24,3,2019,6,30,18,10,24,3,2019
IndiGo,Banglore,Delhi,0,180,5,12,2019,21,15,0,15,13,5,2019
IndiGo,Kolkata,Banglore,1,315,6,6,2019,15,15,20,30,6,6,2019
Jet Airways,Kolkata,Banglore,1,870,5,9,2019,20,25,10,55,5,10,2019
IndiGo,Delhi,Cochin,0,195,5,9,2019,14,25,17,40,5,9,2019
Vistara,Banglore,Delhi,0,165,15,4,2019,19,30,22,15,15,4,2019
IndiGo,Kolkata,Banglore,0,155,4,1,2019,17,15,19,50,4,1,2019
Jet Airways,Banglore,Delhi,1,370,15,3,2019,22,55,5,5,13,3,2019
Multiple carriers,Delhi,Cochin,1,660,27,3,2019,10,0,21,0,27,3,2019
Jet Airways,Delhi,Cochin,2,1125,18,5,2019,9,40,4,25,19,5,2019
Jet Airways,Kolkata,Banglore,1,1055,5,9,2019,16,30,10,5,5,10,2019
IndiGo,Kolkata,Banglore,0,155,5,3,2019,15,30,18,5,5,3,2019
IndiGo,Delhi,Cochin,1,265,27,3,2019,7,35,12,0,27,3,2019
Jet Airways,Delhi,Cochin,1,550,3,3,2019,19,15,4,25,3,4,2019
Vistara,Kolkata,Banglore,1,1440,5,1,2019,20,20,20,20,5,2,2019
Air India,Delhi,Cochin,0,180,27,6,2019,14,10,17,10,27,6,2019
Jet Airways,Kolkata,Banglore,1,750,6,9,2019,9,35,22,5,6,9,2019
Multiple carriers,Delhi,Cochin,1,380,27,3,2019,7,0,13,20,27,3,2019
Jet Airways,Kolkata,Banglore,1,1295,5,6,2019,20,25,18,0,5,7,2019
Jet Airways,Delhi,Cochin,2,1125,6,12,2019,9,40,4,25,13,6,2019
Multiple carriers,Delhi,Cochin,1,780,6,1,2019,8,0,21,0,6,1,2019
Vistara,Kolkata,Banglore,1,930,21,5,2019,7,10,22,40,21,5,2019
Jet Airways,Kolkata,Banglore,1,585,6,6,2019,18,55,4,40,6,7,2019
Air India,Delhi,Cochin,2,1245,18,5,2019,10,55,7,40,19,5,2019
IndiGo,Delhi,Cochin,1,320,15,6,2019,6,50,12,10,15,6,2019
Jet Airways,Delhi,Cochin,2,1475,3,6,2019,19,10,19,45,3,7,2019
IndiGo,Kolkata,Banglore,0,155,15,5,2019,20,20,22,55,15,5,2019
Air India,Banglore,Delhi,0,165,15,4,2019,6,10,8,55,15,4,2019
Vistara,Banglore,Delhi,0,175,24,3,2019,21,10,0,5,25,3,2019
Jet Airways Business,Delhi,Cochin,2,500,3,6,2019,20,5,4,25,3,7,2019
Jet Airways,Delhi,Cochin,1,745,27,3,2019,16,0,4,25,28,3,2019
IndiGo,Kolkata,Banglore,0,155,24,4,2019,22,15,0,50,25,4,2019
SpiceJet,Mumbai,Hyderabad,0,80,24,3,2019,13,10,14,30,24,3,2019
Multiple carriers,Delhi,Cochin,1,690,6,1,2019,14,0,1,30,6,2,2019
Multiple carriers,Delhi,Cochin,1,660,15,5,2019,10,0,21,0,15,5,2019
Air India,Kolkata,Banglore,0,155,5,3,2019,20,45,23,20,5,3,2019
Multiple carriers,Delhi,Cochin,1,780,3,3,2019,8,0,21,0,3,3,2019
Air Asia,Kolkata,Banglore,0,150,27,6,2019,22,50,1,20,28,6,2019
IndiGo,Delhi,Cochin,1,635,3,6,2019,15,0,1,35,3,7,2019
Jet Airways,Delhi,Cochin,1,1210,27,5,2019,22,50,19,0,28,5,2019
Multiple carriers,Delhi,Cochin,1,645,15,5,2019,8,30,19,15,15,5,2019
Air India,Kolkata,Banglore,1,1515,6,6,2019,12,0,13,15,6,7,2019
Multiple carriers,Delhi,Cochin,1,840,3,3,2019,7,0,21,0,3,3,2019
Vistara,Delhi,Cochin,0,190,27,4,2019,6,0,9,10,27,4,2019
Jet Airways,Kolkata,Banglore,1,1090,5,9,2019,14,5,8,15,5,10,2019
Jet Airways,Kolkata,Banglore,1,400,5,12,2019,14,5,20,45,5,12,2019
SpiceJet,Kolkata,Banglore,0,150,21,3,2019,9,0,11,30,21,3,2019
Multiple carriers,Delhi,Cochin,1,440,21,3,2019,18,15,1,35,22,3,2019
Vistara,Mumbai,Hyderabad,1,1125,3,6,2019,14,40,9,25,3,7,2019
GoAir,Banglore,Delhi,0,170,6,6,2019,11,40,14,30,6,6,2019
Jet Airways,Banglore,Delhi,1,1280,3,6,2019,14,5,11,25,3,7,2019
Jet Airways,Banglore,Delhi,1,1420,3,1,2019,8,0,7,40,3,2,2019
Air India,Delhi,Cochin,2,1595,27,5,2019,16,40,19,15,28,5,2019
Vistara,Banglore,Delhi,0,165,27,5,2019,19,30,22,15,27,5,2019
Jet Airways,Kolkata,Banglore,1,735,5,6,2019,20,0,8,15,5,7,2019
Air India,Delhi,Cochin,1,965,3,3,2019,17,20,9,25,3,4,2019
SpiceJet,Banglore,Delhi,0,175,15,5,2019,21,10,0,5,16,5,2019
Jet Airways,Banglore,Delhi,0,175,5,12,2019,15,15,18,10,5,12,2019
Air India,Delhi,Cochin,1,1535,21,5,2019,5,15,6,50,22,5,2019
SpiceJet,Chennai,Kolkata,0,140,3,9,2019,17,45,20,5,3,9,2019
Multiple carriers,Delhi,Cochin,1,455,18,5,2019,14,55,22,30,18,5,2019
IndiGo,Kolkata,Banglore,0,155,24,4,2019,15,30,18,5,24,4,2019
Jet Airways,Kolkata,Banglore,1,750,18,5,2019,9,35,22,5,18,5,2019
Jet Airways,Kolkata,Banglore,1,1220,5,12,2019,20,0,16,20,13,5,2019
Jet Airways,Delhi,Cochin,1,715,4,9,2019,7,5,19,0,4,9,2019
Jet Airways,Delhi,Cochin,0,195,15,6,2019,11,0,14,15,15,6,2019
Jet Airways,Banglore,Delhi,1,1035,3,12,2019,22,55,16,10,13,3,2019
Air India,Banglore,Delhi,2,630,21,3,2019,5,50,16,20,21,3,2019
IndiGo,Banglore,Delhi,0,170,27,4,2019,4,0,6,50,27,4,2019
GoAir,Kolkata,Banglore,0,155,24,6,2019,15,20,17,55,24,6,2019
IndiGo,Banglore,Delhi,1,295,3,9,2019,15,40,20,35,3,9,2019
IndiGo,Banglore,Delhi,0,175,5,1,2019,0,30,3,25,5,1,2019
Jet Airways,Kolkata,Banglore,1,890,6,9,2019,21,10,12,0,6,10,2019
Vistara,Chennai,Kolkata,0,135,18,3,2019,7,5,9,20,18,3,2019
IndiGo,Kolkata,Banglore,0,155,21,4,2019,4,40,7,15,21,4,2019
Multiple carriers,Delhi,Cochin,1,720,21,5,2019,9,0,21,0,21,5,2019
IndiGo,Banglore,Delhi,0,170,3,9,2019,22,20,1,10,3,10,2019
Vistara,Chennai,Kolkata,0,135,18,5,2019,7,5,9,20,18,5,2019
Air India,Kolkata,Banglore,2,1170,5,6,2019,9,10,4,40,5,7,2019
IndiGo,Banglore,Delhi,0,170,5,3,2019,8,30,11,20,5,3,2019
Jet Airways,Kolkata,Banglore,1,1315,5,1,2019,14,5,12,0,5,2,2019
Jet Airways,Kolkata,Banglore,1,730,21,5,2019,16,30,4,40,22,5,2019
Air India,Banglore,Delhi,0,165,21,6,2019,10,0,12,45,21,6,2019
GoAir,Banglore,Delhi,0,175,4,6,2019,7,45,10,40,4,6,2019
Jet Airways,Delhi,Cochin,2,1375,5,9,2019,5,30,4,25,5,10,2019
Jet Airways,Delhi,Cochin,2,810,27,5,2019,5,30,19,0,27,5,2019
Jet Airways,Banglore,Delhi,0,180,27,5,2019,8,20,11,20,27,5,2019
Air India,Banglore,Delhi,0,170,15,5,2019,13,20,16,10,15,5,2019
Jet Airways,Banglore,Delhi,1,370,21,3,2019,9,45,15,55,21,3,2019
Air India,Delhi,Cochin,0,230,18,6,2019,14,5,17,55,18,6,2019
Vistara,Chennai,Kolkata,0,140,21,6,2019,17,45,20,5,21,6,2019
Jet Airways,Kolkata,Banglore,1,590,21,5,2019,8,25,18,15,21,5,2019
IndiGo,Delhi,Cochin,1,755,3,3,2019,8,25,21,0,3,3,2019
IndiGo,Banglore,Delhi,1,260,18,3,2019,16,15,20,35,18,3,2019
IndiGo,Mumbai,Hyderabad,0,95,27,5,2019,20,5,21,40,27,5,2019
Multiple carriers,Delhi,Cochin,1,730,6,3,2019,7,5,19,15,6,3,2019
Air India,Kolkata,Banglore,2,1830,6,6,2019,12,0,18,30,6,7,2019
Vistara,Mumbai,Hyderabad,1,660,3,6,2019,11,55,22,55,3,6,2019
Jet Airways,Delhi,Cochin,1,715,21,5,2019,7,5,19,0,21,5,2019
IndiGo,Banglore,Delhi,0,170,27,6,2019,13,0,15,50,27,6,2019
Vistara,Kolkata,Banglore,1,975,5,6,2019,7,10,23,25,5,6,2019
Air India,Delhi,Cochin,2,1380,18,5,2019,20,15,19,15,19,5,2019
Jet Airways,Mumbai,Hyderabad,0,85,27,5,2019,2,55,4,20,27,5,2019
Jet Airways,Delhi,Cochin,2,1045,18,5,2019,19,10,12,35,19,5,2019
Air India,Mumbai,Hyderabad,0,80,3,3,2019,6,20,7,40,3,3,2019
IndiGo,Delhi,Cochin,1,380,5,9,2019,16,10,22,30,5,9,2019
Air India,Delhi,Cochin,2,1275,24,6,2019,22,0,19,15,25,6,2019
IndiGo,Delhi,Cochin,1,315,5,9,2019,7,15,12,30,5,9,2019
Multiple carriers,Delhi,Cochin,1,480,6,1,2019,17,30,1,30,6,2,2019
Jet Airways,Kolkata,Banglore,1,395,5,1,2019,17,0,23,35,5,1,2019
Multiple carriers,Delhi,Cochin,2,695,27,3,2019,9,45,21,20,27,3,2019
Multiple carriers,Delhi,Cochin,1,755,6,6,2019,6,40,19,15,6,6,2019
Air India,Mumbai,Hyderabad,2,5,3,6,2019,16,50,16,55,3,6,2019
IndiGo,Mumbai,Hyderabad,0,90,24,6,2019,6,25,7,55,24,6,2019
Jet Airways,Kolkata,Banglore,1,1200,6,12,2019,14,5,10,5,13,6,2019
Jet Airways,Kolkata,Banglore,1,510,5,12,2019,14,5,22,35,5,12,2019
Jet Airways,Delhi,Cochin,1,995,21,3,2019,2,15,18,50,21,3,2019
Air India,Delhi,Cochin,2,1545,3,6,2019,5,55,7,40,3,7,2019
IndiGo,Kolkata,Banglore,0,155,24,3,2019,15,10,17,45,24,3,2019
SpiceJet,Banglore,Delhi,0,170,4,12,2019,9,30,12,20,4,12,2019
IndiGo,Banglore,Delhi,0,175,3,9,2019,21,20,0,15,13,3,2019
Air Asia,Banglore,Delhi,0,170,4,6,2019,23,55,2,45,4,7,2019
Air India,Delhi,Cochin,1,1255,3,3,2019,12,30,9,25,3,4,2019
Air India,Delhi,Cochin,2,1275,24,5,2019,22,0,19,15,25,5,2019
Jet Airways,Delhi,Cochin,2,810,6,12,2019,5,30,19,0,6,12,2019
Jet Airways,Delhi,Cochin,2,1320,27,6,2019,14,35,12,35,28,6,2019
Jet Airways,Kolkata,Banglore,1,475,24,3,2019,8,25,16,20,24,3,2019
Jet Airways,Delhi,Cochin,2,1125,6,1,2019,9,40,4,25,6,2,2019
SpiceJet,Chennai,Kolkata,0,155,3,6,2019,9,30,12,5,3,6,2019
Air Asia,Kolkata,Banglore,0,150,3,3,2019,19,35,22,5,3,3,2019
GoAir,Delhi,Cochin,1,355,15,4,2019,7,0,12,55,15,4,2019
Multiple carriers,Delhi,Cochin,1,630,27,6,2019,8,30,19,0,27,6,2019
Jet Airways,Delhi,Cochin,1,1010,6,1,2019,19,45,12,35,6,2,2019
Air India,Kolkata,Banglore,2,1035,6,12,2019,20,30,13,45,13,6,2019
IndiGo,Delhi,Cochin,1,860,18,5,2019,6,40,21,0,18,5,2019
IndiGo,Delhi,Cochin,1,895,6,6,2019,10,35,1,30,6,7,2019
SpiceJet,Mumbai,Hyderabad,0,80,18,3,2019,5,45,7,5,18,3,2019
IndiGo,Banglore,Delhi,0,175,3,3,2019,7,10,10,5,3,3,2019
Jet Airways,Banglore,Delhi,1,315,3,6,2019,8,0,13,15,3,6,2019
Jet Airways,Banglore,Delhi,0,180,24,4,2019,19,50,22,50,24,4,2019
IndiGo,Kolkata,Banglore,0,155,5,9,2019,17,15,19,50,5,9,2019
IndiGo,Kolkata,Banglore,0,150,6,3,2019,14,25,16,55,6,3,2019
Jet Airways,Delhi,Cochin,2,1775,27,6,2019,13,25,19,0,28,6,2019
IndiGo,Banglore,Delhi,0,165,18,4,2019,6,5,8,50,18,4,2019
SpiceJet,Delhi,Cochin,1,295,4,3,2019,17,55,22,50,4,3,2019
IndiGo,Mumbai,Hyderabad,0,85,3,6,2019,21,20,22,45,3,6,2019
Multiple carriers,Delhi,Cochin,1,540,15,6,2019,10,0,19,0,15,6,2019
Jet Airways,Kolkata,Banglore,1,400,6,6,2019,14,5,20,45,6,6,2019
Jet Airways,Kolkata,Banglore,1,1005,18,5,2019,17,0,9,45,19,5,2019
Jet Airways,Kolkata,Banglore,1,575,21,5,2019,9,35,19,10,21,5,2019
Jet Airways,Delhi,Cochin,2,1125,27,5,2019,9,40,4,25,28,5,2019
GoAir,Delhi,Cochin,1,370,18,5,2019,7,25,13,35,18,5,2019
Multiple carriers,Delhi,Cochin,1,395,18,5,2019,6,0,12,35,18,5,2019
Jet Airways,Mumbai,Hyderabad,0,85,5,6,2019,2,55,4,20,5,6,2019
Multiple carriers,Delhi,Cochin,1,725,3,3,2019,8,55,21,0,3,3,2019
Jet Airways,Delhi,Cochin,1,520,5,9,2019,19,45,4,25,5,10,2019
Air India,Delhi,Cochin,2,1855,21,3,2019,12,20,19,15,22,3,2019
IndiGo,Kolkata,Banglore,0,165,18,3,2019,10,10,12,55,18,3,2019
IndiGo,Banglore,Delhi,0,165,5,9,2019,1,30,4,15,5,9,2019
Jet Airways,Kolkata,Banglore,1,1025,5,1,2019,18,55,12,0,5,2,2019
Jet Airways,Mumbai,Hyderabad,0,90,24,6,2019,8,45,10,15,24,6,2019
IndiGo,Delhi,Cochin,1,515,15,6,2019,7,35,16,10,15,6,2019
IndiGo,Kolkata,Banglore,1,240,6,9,2019,6,20,10,20,6,9,2019
Jet Airways,Delhi,Cochin,1,520,6,12,2019,19,45,4,25,13,6,2019
Air India,Banglore,Delhi,1,1015,3,1,2019,5,50,22,45,3,1,2019
Multiple carriers,Delhi,Cochin,1,490,27,5,2019,12,50,21,0,27,5,2019
Jet Airways,Kolkata,Banglore,1,520,24,5,2019,20,0,4,40,25,5,2019
Multiple carriers,Delhi,Cochin,1,735,21,5,2019,8,45,21,0,21,5,2019
SpiceJet,Banglore,Delhi,0,175,5,12,2019,21,10,0,5,13,5,2019
IndiGo,Banglore,Delhi,0,170,4,12,2019,8,30,11,20,4,12,2019
